"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-12-02 08:57:40",1764665860944,"www.eclip.pro/api/auth/me","GET","",401,"gctzz-1764665860903-2e2613c808d3","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/136.0.7103.56 Mobile/15E148 Safari/604.1","warning","production","master","","lambda","/api/auth/me","www.eclip.pro","www.eclip.pro","dpl_BrWVGYpL6yRCMsAbcwAc2i8oGeXz",11,"iad1",121,2048,"","prj_zzTHV4G89zwt2Os9YTqtsw5gIqzJ","","","01KBF4G8TGQW4V83RJGQ98WR8A","3qcoUlJH1w1F",1
"2025-12-02 08:57:40",1764665860766,"www.eclip.pro/api/auth/me","GET","",401,"gctzz-1764665860717-8139ec103274","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/136.0.7103.56 Mobile/15E148 Safari/604.1","warning","production","master","","lambda","/api/auth/me","www.eclip.pro","www.eclip.pro","dpl_BrWVGYpL6yRCMsAbcwAc2i8oGeXz",11,"iad1",121,2048,"","prj_zzTHV4G89zwt2Os9YTqtsw5gIqzJ","","","01KBF4G8MY4W96YBVVT7SQF4J4","3qcoUlJH1w1F",1
"2025-12-02 08:57:39",1764665859550,"www.eclip.pro/api/auth/steam/return","GET","openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.mode=id_res&openid.op_endpoint=https%3A%2F%2Fsteamcommunity.com%2Fopenid%2Flogin&openid.claimed_id=https%3A%2F%2Fsteamcommunity.com%2Fopenid%2Fid%2F76561198001993310&openid.identity=https%3A%2F%2F",307,"dzqnb-1764665859288-dd274be67c87","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/136.0.7103.56 Mobile/15E148 Safari/604.1","info","production","master","","lambda","/api/auth/steam/return","www.eclip.pro","www.eclip.pro","dpl_BrWVGYpL6yRCMsAbcwAc2i8oGeXz",802,"iad1",121,2048,"","prj_zzTHV4G89zwt2Os9YTqtsw5gIqzJ","","","01KBF4G7EYK0FKNNAD9M4R52VN","3qcoUlJH1w1F",1
"2025-12-02 08:57:34",1764665854435,"www.eclip.pro/api/auth/steam","GET","",307,"5d8k5-1764665854218-0b06db7e1f55","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/136.0.7103.56 Mobile/15E148 Safari/604.1","info","production","master","","lambda","/api/auth/steam","www.eclip.pro","www.eclip.pro","dpl_BrWVGYpL6yRCMsAbcwAc2i8oGeXz",34,"iad1",118,2048,"","prj_zzTHV4G89zwt2Os9YTqtsw5gIqzJ","","","01KBF4G2F3B65RB0ABNP3TRQQK","3qcoUlJH1w1F",1
"2025-12-02 08:57:26",1764665846200,"www.eclip.pro/api/auth/me","GET","",401,"j9mz4-1764665846158-721ef27d3cc2","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/136.0.7103.56 Mobile/15E148 Safari/604.1","warning","production","master","","lambda","/api/auth/me","www.eclip.pro","www.eclip.pro","dpl_BrWVGYpL6yRCMsAbcwAc2i8oGeXz",13,"iad1",117,2048,"","prj_zzTHV4G89zwt2Os9YTqtsw5gIqzJ","","","01KBF4FTDR0F8AB9X0GXBE38ZC","3qcoUlJH1w1F",1
"2025-12-02 08:57:25",1764665845885,"www.eclip.pro/api/auth/me","GET","",401,"j9mz4-1764665845708-8cdfc3b3150f","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/136.0.7103.56 Mobile/15E148 Safari/604.1","warning","production","master","","lambda","/api/auth/me","www.eclip.pro","www.eclip.pro","dpl_BrWVGYpL6yRCMsAbcwAc2i8oGeXz",135,"iad1",117,2048,"","prj_zzTHV4G89zwt2Os9YTqtsw5gIqzJ","","","01KBF4FT3XFP4JPS4C3VS6X030","3qcoUlJH1w1F",1
"2025-12-02 08:57:22",1764665842151,"www.eclip.pro/","GET","",200,"7tfln-1764665841492-66deabb40fe2","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/E7FBAF","info","production","master","PRERENDER","static","/","www.eclip.pro","www.eclip.pro","dpl_BrWVGYpL6yRCMsAbcwAc2i8oGeXz",-1,"",-1,-1,"","prj_zzTHV4G89zwt2Os9YTqtsw5gIqzJ","","","","",-1
"2025-12-02 08:54:27",1764665667340,"eclip-a7eom8y5c-equipgg.vercel.app/favicon.ico","GET","",200,"b7wws-1764665667094-7249725fd8d4","vercel-screenshot/1.0","info","production","master","PRERENDER","static","/favicon.ico","eclip-a7eom8y5c-equipgg.vercel.app","eclip-a7eom8y5c-equipgg.vercel.app","dpl_BrWVGYpL6yRCMsAbcwAc2i8oGeXz",-1,"",-1,-1,"","prj_zzTHV4G89zwt2Os9YTqtsw5gIqzJ","","","","",-1
"2025-12-02 08:54:22",1764665662197,"eclip-a7eom8y5c-equipgg.vercel.app/api/auth/me","GET","",401,"w7h5t-1764665662153-2e5ba7124b8e","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36","warning","production","master","","lambda","/api/auth/me","eclip-a7eom8y5c-equipgg.vercel.app","eclip-a7eom8y5c-equipgg.vercel.app","dpl_BrWVGYpL6yRCMsAbcwAc2i8oGeXz",9,"iad1",141,2048,"","prj_zzTHV4G89zwt2Os9YTqtsw5gIqzJ","","","01KBF4A6QNK6QB8ET4YNEQDJFK","k3hpe2m8CFbY",1
"2025-12-02 08:54:22",1764665662067,"eclip-a7eom8y5c-equipgg.vercel.app/api/auth/me","GET","",401,"9dxf6-1764665662025-237954fd747b","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36","warning","production","master","","lambda","/api/auth/me","eclip-a7eom8y5c-equipgg.vercel.app","eclip-a7eom8y5c-equipgg.vercel.app","dpl_BrWVGYpL6yRCMsAbcwAc2i8oGeXz",9,"iad1",141,2048,"","prj_zzTHV4G89zwt2Os9YTqtsw5gIqzJ","","","01KBF4A6KKE24A5V85F1K34C0B","k3hpe2m8CFbY",1
